Date,Year,Daily Mean PM2.5 Concentration,UNITS,SITE_LATITUDE,SITE_LONGITUDE
02/12/2009,2009,5.8,ug/m3 LC,40.816,-73.902
02/13/2009,2009,5.7,ug/m3 LC,40.816,-73.902
02/14/2009,2009,7.2,ug/m3 LC,40.816,-73.902
02/15/2009,2009,7.1,ug/m3 LC,40.816,-73.902
02/16/2009,2009,7.6,ug/m3 LC,40.816,-73.902
02/17/2009,2009,9.3,ug/m3 LC,40.816,-73.902
02/18/2009,2009,18.2,ug/m3 LC,40.816,-73.902
02/19/2009,2009,13.2,ug/m3 LC,40.816,-73.902
02/20/2009,2009,8.1,ug/m3 LC,40.816,-73.902
02/21/2009,2009,11.9,ug/m3 LC,40.816,-73.902
02/22/2009,2009,12.5,ug/m3 LC,40.816,-73.902
02/23/2009,2009,7.9,ug/m3 LC,40.816,-73.902
02/24/2009,2009,7.7,ug/m3 LC,40.816,-73.902
02/25/2009,2009,13.1,ug/m3 LC,40.816,-73.902
02/26/2009,2009,16.6,ug/m3 LC,40.816,-73.902
02/27/2009,2009,14,ug/m3 LC,40.816,-73.902
02/28/2009,2009,9.2,ug/m3 LC,40.816,-73.902
03/01/2009,2009,8.8,ug/m3 LC,40.816,-73.902
03/02/2009,2009,9.6,ug/m3 LC,40.816,-73.902
03/03/2009,2009,7.8,ug/m3 LC,40.816,-73.902
03/04/2009,2009,9.8,ug/m3 LC,40.816,-73.902
03/05/2009,2009,19,ug/m3 LC,40.816,-73.902
03/06/2009,2009,21.3,ug/m3 LC,40.816,-73.902
03/07/2009,2009,31.9,ug/m3 LC,40.816,-73.902
03/08/2009,2009,11.5,ug/m3 LC,40.816,-73.902
03/09/2009,2009,7.7,ug/m3 LC,40.816,-73.902
03/10/2009,2009,9.6,ug/m3 LC,40.816,-73.902
03/11/2009,2009,14.5,ug/m3 LC,40.816,-73.902
03/12/2009,2009,8.2,ug/m3 LC,40.816,-73.902
03/13/2009,2009,7.8,ug/m3 LC,40.816,-73.902
03/14/2009,2009,18.8,ug/m3 LC,40.816,-73.902
03/15/2009,2009,21.7,ug/m3 LC,40.816,-73.902
03/16/2009,2009,27.5,ug/m3 LC,40.816,-73.902
03/17/2009,2009,11.7,ug/m3 LC,40.816,-73.902
03/18/2009,2009,15.2,ug/m3 LC,40.816,-73.902
03/19/2009,2009,12.9,ug/m3 LC,40.816,-73.902
03/20/2009,2009,9.6,ug/m3 LC,40.816,-73.902
03/21/2009,2009,9.3,ug/m3 LC,40.816,-73.902
03/22/2009,2009,10.8,ug/m3 LC,40.816,-73.902
03/23/2009,2009,6.4,ug/m3 LC,40.816,-73.902
03/24/2009,2009,8,ug/m3 LC,40.816,-73.902
03/25/2009,2009,10.9,ug/m3 LC,40.816,-73.902
03/26/2009,2009,8.5,ug/m3 LC,40.816,-73.902
03/27/2009,2009,11.7,ug/m3 LC,40.816,-73.902
03/28/2009,2009,8,ug/m3 LC,40.816,-73.902
03/29/2009,2009,5.6,ug/m3 LC,40.816,-73.902
03/30/2009,2009,6.2,ug/m3 LC,40.816,-73.902
03/31/2009,2009,6.6,ug/m3 LC,40.816,-73.902
04/01/2009,2009,8.6,ug/m3 LC,40.816,-73.902
04/02/2009,2009,10.6,ug/m3 LC,40.816,-73.902
04/03/2009,2009,5.7,ug/m3 LC,40.816,-73.902
04/04/2009,2009,5.7,ug/m3 LC,40.816,-73.902
04/05/2009,2009,7.1,ug/m3 LC,40.816,-73.902
04/06/2009,2009,9.9,ug/m3 LC,40.816,-73.902
04/07/2009,2009,4.6,ug/m3 LC,40.816,-73.902
04/08/2009,2009,10.6,ug/m3 LC,40.816,-73.902
04/09/2009,2009,16.5,ug/m3 LC,40.816,-73.902
04/10/2009,2009,24.3,ug/m3 LC,40.816,-73.902
04/11/2009,2009,11.2,ug/m3 LC,40.816,-73.902
04/12/2009,2009,4.7,ug/m3 LC,40.816,-73.902
04/13/2009,2009,5.7,ug/m3 LC,40.816,-73.902
04/14/2009,2009,10,ug/m3 LC,40.816,-73.902
04/15/2009,2009,7.6,ug/m3 LC,40.816,-73.902
04/16/2009,2009,9.1,ug/m3 LC,40.816,-73.902
04/17/2009,2009,11.1,ug/m3 LC,40.816,-73.902
04/18/2009,2009,9.8,ug/m3 LC,40.816,-73.902
04/19/2009,2009,8.2,ug/m3 LC,40.816,-73.902
04/20/2009,2009,6,ug/m3 LC,40.816,-73.902
04/21/2009,2009,8.8,ug/m3 LC,40.816,-73.902
04/22/2009,2009,8.3,ug/m3 LC,40.816,-73.902
04/23/2009,2009,5.6,ug/m3 LC,40.816,-73.902
04/24/2009,2009,9.6,ug/m3 LC,40.816,-73.902
04/25/2009,2009,18.7,ug/m3 LC,40.816,-73.902
04/26/2009,2009,19.8,ug/m3 LC,40.816,-73.902
04/27/2009,2009,20.2,ug/m3 LC,40.816,-73.902
04/28/2009,2009,13.4,ug/m3 LC,40.816,-73.902
04/29/2009,2009,3,ug/m3 LC,40.816,-73.902
04/30/2009,2009,6.7,ug/m3 LC,40.816,-73.902
05/01/2009,2009,19.2,ug/m3 LC,40.816,-73.902
05/02/2009,2009,6.4,ug/m3 LC,40.816,-73.902
05/03/2009,2009,9.4,ug/m3 LC,40.816,-73.902
05/04/2009,2009,7.5,ug/m3 LC,40.816,-73.902
05/05/2009,2009,4,ug/m3 LC,40.816,-73.902
05/06/2009,2009,5.8,ug/m3 LC,40.816,-73.902
05/07/2009,2009,8.3,ug/m3 LC,40.816,-73.902
05/08/2009,2009,13.4,ug/m3 LC,40.816,-73.902
05/09/2009,2009,15.6,ug/m3 LC,40.816,-73.902
05/10/2009,2009,2.5,ug/m3 LC,40.816,-73.902
05/11/2009,2009,4.8,ug/m3 LC,40.816,-73.902
05/12/2009,2009,7.8,ug/m3 LC,40.816,-73.902
05/13/2009,2009,11.8,ug/m3 LC,40.816,-73.902
05/14/2009,2009,7.5,ug/m3 LC,40.816,-73.902
05/15/2009,2009,11.3,ug/m3 LC,40.816,-73.902
05/16/2009,2009,4.7,ug/m3 LC,40.816,-73.902
05/17/2009,2009,1.3,ug/m3 LC,40.816,-73.902
05/18/2009,2009,4.2,ug/m3 LC,40.816,-73.902
05/19/2009,2009,7,ug/m3 LC,40.816,-73.902
05/20/2009,2009,11.8,ug/m3 LC,40.816,-73.902
05/21/2009,2009,9.9,ug/m3 LC,40.816,-73.902
05/22/2009,2009,15.4,ug/m3 LC,40.816,-73.902
05/23/2009,2009,9.4,ug/m3 LC,40.816,-73.902
05/24/2009,2009,15.3,ug/m3 LC,40.816,-73.902
05/25/2009,2009,11.4,ug/m3 LC,40.816,-73.902
05/26/2009,2009,3.1,ug/m3 LC,40.816,-73.902
05/27/2009,2009,5,ug/m3 LC,40.816,-73.902
05/28/2009,2009,3.5,ug/m3 LC,40.816,-73.902
05/29/2009,2009,7.2,ug/m3 LC,40.816,-73.902
05/30/2009,2009,5.8,ug/m3 LC,40.816,-73.902
05/31/2009,2009,7.9,ug/m3 LC,40.816,-73.902
06/01/2009,2009,4.7,ug/m3 LC,40.816,-73.902
06/02/2009,2009,14.5,ug/m3 LC,40.816,-73.902
06/03/2009,2009,7.9,ug/m3 LC,40.816,-73.902
06/04/2009,2009,5.8,ug/m3 LC,40.816,-73.902
06/05/2009,2009,4.1,ug/m3 LC,40.816,-73.902
06/06/2009,2009,6.9,ug/m3 LC,40.816,-73.902
06/07/2009,2009,13.6,ug/m3 LC,40.816,-73.902
06/08/2009,2009,13.2,ug/m3 LC,40.816,-73.902
06/09/2009,2009,5.5,ug/m3 LC,40.816,-73.902
06/10/2009,2009,5,ug/m3 LC,40.816,-73.902
06/11/2009,2009,4.9,ug/m3 LC,40.816,-73.902
06/12/2009,2009,13.3,ug/m3 LC,40.816,-73.902
06/13/2009,2009,4.6,ug/m3 LC,40.816,-73.902
06/14/2009,2009,2.5,ug/m3 LC,40.816,-73.902
06/15/2009,2009,4.8,ug/m3 LC,40.816,-73.902
06/16/2009,2009,4.9,ug/m3 LC,40.816,-73.902
06/17/2009,2009,2,ug/m3 LC,40.816,-73.902
06/18/2009,2009,3.9,ug/m3 LC,40.816,-73.902
06/19/2009,2009,3.7,ug/m3 LC,40.816,-73.902
06/20/2009,2009,5.7,ug/m3 LC,40.816,-73.902
06/21/2009,2009,3.3,ug/m3 LC,40.816,-73.902
06/22/2009,2009,3.5,ug/m3 LC,40.816,-73.902
06/23/2009,2009,5.2,ug/m3 LC,40.816,-73.902
06/24/2009,2009,6.2,ug/m3 LC,40.816,-73.902
06/25/2009,2009,5.8,ug/m3 LC,40.816,-73.902
06/26/2009,2009,15.9,ug/m3 LC,40.816,-73.902
06/27/2009,2009,5,ug/m3 LC,40.816,-73.902
06/28/2009,2009,7.8,ug/m3 LC,40.816,-73.902
06/29/2009,2009,12.2,ug/m3 LC,40.816,-73.902
06/30/2009,2009,20,ug/m3 LC,40.816,-73.902
07/01/2009,2009,13,ug/m3 LC,40.816,-73.902
07/02/2009,2009,11.2,ug/m3 LC,40.816,-73.902
07/03/2009,2009,6.4,ug/m3 LC,40.816,-73.902
07/04/2009,2009,2.5,ug/m3 LC,40.816,-73.902
07/05/2009,2009,3,ug/m3 LC,40.816,-73.902
07/06/2009,2009,10.4,ug/m3 LC,40.816,-73.902
07/07/2009,2009,13.3,ug/m3 LC,40.816,-73.902
07/08/2009,2009,2.4,ug/m3 LC,40.816,-73.902
07/09/2009,2009,3.6,ug/m3 LC,40.816,-73.902
07/10/2009,2009,6.1,ug/m3 LC,40.816,-73.902
07/11/2009,2009,6.2,ug/m3 LC,40.816,-73.902
07/12/2009,2009,3.4,ug/m3 LC,40.816,-73.902
07/13/2009,2009,6.1,ug/m3 LC,40.816,-73.902
07/14/2009,2009,5,ug/m3 LC,40.816,-73.902
07/15/2009,2009,8.2,ug/m3 LC,40.816,-73.902
07/16/2009,2009,24.8,ug/m3 LC,40.816,-73.902
07/17/2009,2009,20.8,ug/m3 LC,40.816,-73.902
07/18/2009,2009,7.5,ug/m3 LC,40.816,-73.902
07/19/2009,2009,6.2,ug/m3 LC,40.816,-73.902
07/20/2009,2009,12.2,ug/m3 LC,40.816,-73.902
07/21/2009,2009,6.3,ug/m3 LC,40.816,-73.902
07/22/2009,2009,10,ug/m3 LC,40.816,-73.902
07/23/2009,2009,7.9,ug/m3 LC,40.816,-73.902
07/24/2009,2009,6.6,ug/m3 LC,40.816,-73.902
07/25/2009,2009,17.2,ug/m3 LC,40.816,-73.902
07/26/2009,2009,11.9,ug/m3 LC,40.816,-73.902
07/27/2009,2009,14.7,ug/m3 LC,40.816,-73.902
07/28/2009,2009,19.1,ug/m3 LC,40.816,-73.902
07/29/2009,2009,15.6,ug/m3 LC,40.816,-73.902
07/30/2009,2009,9.9,ug/m3 LC,40.816,-73.902
07/31/2009,2009,17.2,ug/m3 LC,40.816,-73.902
08/01/2009,2009,12.1,ug/m3 LC,40.816,-73.902
08/02/2009,2009,5.5,ug/m3 LC,40.816,-73.902
08/03/2009,2009,13,ug/m3 LC,40.816,-73.902
08/04/2009,2009,22.3,ug/m3 LC,40.816,-73.902
08/05/2009,2009,19.9,ug/m3 LC,40.816,-73.902
08/06/2009,2009,3.4,ug/m3 LC,40.816,-73.902
08/07/2009,2009,3.8,ug/m3 LC,40.816,-73.902
08/08/2009,2009,3.2,ug/m3 LC,40.816,-73.902
08/09/2009,2009,16.5,ug/m3 LC,40.816,-73.902
08/10/2009,2009,12.2,ug/m3 LC,40.816,-73.902
08/11/2009,2009,7.7,ug/m3 LC,40.816,-73.902
08/12/2009,2009,10.5,ug/m3 LC,40.816,-73.902
08/13/2009,2009,3.9,ug/m3 LC,40.816,-73.902
08/14/2009,2009,10.7,ug/m3 LC,40.816,-73.902
08/15/2009,2009,15.3,ug/m3 LC,40.816,-73.902
08/16/2009,2009,23.8,ug/m3 LC,40.816,-73.902
08/17/2009,2009,26.9,ug/m3 LC,40.816,-73.902
08/18/2009,2009,21.4,ug/m3 LC,40.816,-73.902
08/19/2009,2009,13.1,ug/m3 LC,40.816,-73.902
08/20/2009,2009,20.8,ug/m3 LC,40.816,-73.902
08/21/2009,2009,9.5,ug/m3 LC,40.816,-73.902
08/22/2009,2009,2.5,ug/m3 LC,40.816,-73.902
08/23/2009,2009,8.3,ug/m3 LC,40.816,-73.902
08/24/2009,2009,9,ug/m3 LC,40.816,-73.902
08/25/2009,2009,8.1,ug/m3 LC,40.816,-73.902
08/26/2009,2009,20.6,ug/m3 LC,40.816,-73.902
08/27/2009,2009,3,ug/m3 LC,40.816,-73.902
08/28/2009,2009,4.8,ug/m3 LC,40.816,-73.902
08/29/2009,2009,2.4,ug/m3 LC,40.816,-73.902
08/30/2009,2009,7.5,ug/m3 LC,40.816,-73.902
08/31/2009,2009,1.1,ug/m3 LC,40.816,-73.902
09/01/2009,2009,3.9,ug/m3 LC,40.816,-73.902
09/02/2009,2009,6.6,ug/m3 LC,40.816,-73.902
09/03/2009,2009,6.1,ug/m3 LC,40.816,-73.902
09/04/2009,2009,11.1,ug/m3 LC,40.816,-73.902
09/05/2009,2009,9.8,ug/m3 LC,40.816,-73.902
09/06/2009,2009,4.1,ug/m3 LC,40.816,-73.902
09/07/2009,2009,3.1,ug/m3 LC,40.816,-73.902
09/08/2009,2009,12.2,ug/m3 LC,40.816,-73.902
09/09/2009,2009,6.7,ug/m3 LC,40.816,-73.902
